Date,Type,Route Name,Distance (mi),Duration,Average Pace,Average Speed (mph),Calories Burned,Climb (ft),Average Heart Rate (bpm),Notes,GPX File
2015-03-27 12:26:34,Running,,3.31,29:57,9:03,6.63,297.0,48.45,157,,2015-03-27-1226.gpx
2015-03-21 09:44:25,Running,,11.31,2:12:01,11:40,5.14,986.0,283.41,146,,2015-03-21-0944.gpx
2015-03-19 07:21:36,Running,,5.17,52:45,10:12,5.88,423.0,75.23,150,,2015-03-19-0721.gpx
2015-03-17 06:51:42,Running,,1.81,17:10,9:29,6.32,144.0,23.27,137,,2015-03-17-0651.gpx
2015-03-17 06:21:51,Running,,0.94,7:25,7:52,7.64,17.0,3.65,136,,2015-03-17-0621.gpx
2015-03-14 09:36:55,Running,,10.20,2:10:26,12:47,4.69,790.0,251.36,138,,2015-03-14-0936.gpx
2015-03-10 06:21:38,Running,,8.82,47:31,5:23,11.14,210.0,39.90,161,,2015-03-10-0621.gpx
2015-03-07 09:21:13,Running,,9.51,1:46:37,11:13,5.35,884.0,108.55,149,,2015-03-07-0921.gpx
2015-03-06 17:09:02,Running,,4.52,45:45,10:07,5.93,430.0,42.95,159,,2015-03-06-1709.gpx
2015-03-04 12:34:50,Walking,,1.55,27:23,17:37,3.41,124.0,29.54,,,2015-03-04-1234.gpx
2015-03-03 06:50:27,Running,,1.63,15:31,9:31,6.30,162.0,20.30,173,,2015-03-03-0650.gpx
2015-03-03 06:23:15,Running,,0.83,7:07,8:36,6.98,24.0,2.77,145,,2015-03-03-0623.gpx
2015-03-01 10:00:15,Running,,6.55,2:33:26,23:25,2.56,498.0,183.91,,,2015-03-01-1000.gpx
2015-02-26 17:16:42,Running,,1.00,9:02,9:01,6.66,54.0,9.82,143,,2015-02-26-1716.gpx
2015-02-22 11:18:15,Running,,4.45,53:33,12:02,4.99,487.0,225.09,157,,2015-02-22-1118.gpx
2015-02-20 12:51:01,Walking,,1.87,33:42,18:00,3.33,143.0,33.12,,,2015-02-20-1251.gpx
2015-02-08 10:28:33,Walking,,1.93,40:43,21:06,2.84,139.018655845747,21.56,,,2015-02-08-1028.gpx
2015-02-07 09:42:06,Running,,6.80,1:31:08,13:24,4.48,749.0,299.64,144,,2015-02-07-0942.gpx
2015-02-01 13:54:55,Running,,1.12,11:57,10:39,5.63,117.296931212992,29.17,,,2015-02-01-1354.gpx
2015-01-25 09:46:53,Running,,6.16,1:18:58,12:49,4.68,603.666687824912,155.89,,"Slow and tired after yesterday's parkrun, but nice to have a hilly off road route from the doorstep in a city! ",2015-01-25-0946.gpx
2015-01-23 12:44:06,Walking,,1.46,25:50,17:41,3.39,112.519607486433,31.95,,,2015-01-23-1244.gpx
2015-01-22 13:35:03,Walking,,1.48,25:27,17:11,3.49,117.999444963162,28.74,,,2015-01-22-1335.gpx
2015-01-17 09:04:03,Running,,3.14,29:35,9:25,6.37,268.0,40.82,171,,2015-01-17-0904.gpx
2015-01-11 10:53:55,Running,,6.47,1:12:26,11:12,5.36,668.621196080749,211.78,,"Fewston and Swinsty reservoirs — great fun in spite of the weather! ",2015-01-11-1053.gpx
2015-01-07 11:07:06,Running,,4.12,50:50,12:20,4.87,414.640965917263,216.00,,"New off road shoes performed perfectly in the mud up on the Chevin today! ",2015-01-07-1107.gpx
2015-01-01 11:18:59,Walking,,5.17,1:51:41,21:37,2.78,374.25796269274,294.45,,,2015-01-01-1118.gpx
2014-12-28 11:29:20,Running,,3.24,38:35,11:55,5.04,332.517707044939,87.31,,,2014-12-28-1129.gpx
2014-12-27 11:27:47,Walking,,4.05,1:30:05,22:13,2.70,0.0,196.58,,,2014-12-27-1127.gpx
2014-12-26 11:57:15,Walking,,3.12,1:02:43,20:05,2.99,238.732770785589,92.06,,,2014-12-26-1157.gpx
2014-12-25 10:26:30,Walking,,2.71,55:20,20:25,2.94,205.084894529669,68.04,,,2014-12-25-1026.gpx
2014-12-24 13:07:38,Walking,,0.88,15:23,17:30,3.43,70.6826778628398,6.18,,,2014-12-24-1307.gpx
2014-12-24 11:03:06,Walking,,2.11,42:44,20:16,2.96,161.590760987152,52.81,,,2014-12-24-1103.gpx
2014-12-15 12:35:02,Walking,,1.10,19:19,17:29,3.43,89.355062767584,12.36,,,2014-12-15-1235.gpx
2014-12-11 12:37:20,Walking,,1.61,30:10,18:46,3.20,123.198435393142,33.21,,,2014-12-11-1237.gpx
2014-12-10 12:33:22,Walking,,1.73,28:33,16:29,3.64,135.372494380035,28.60,,,2014-12-10-1233.gpx
2014-11-19 06:52:46,Running,,2.79,26:47,9:37,6.24,295.528819261765,42.71,,"Exploring the sights of Leicester! ",2014-11-19-0652.gpx
2014-11-12 13:15:42,Walking,,1.46,24:26,16:43,3.59,115.290317796379,22.09,,,2014-11-12-1315.gpx
2014-11-06 18:30:45,Running,,3.70,36:26,9:51,6.10,375.0,38.09,165,,2014-11-06-1830.gpx
2014-11-05 17:47:05,Cycling,,8.80,54:59,6:15,9.60,0.0,99.54,,,2014-11-05-1747.gpx
2014-10-28 18:46:21,Running,,1.55,15:42,10:07,5.93,139.0,12.66,148,,2014-10-28-1846.gpx
2014-10-26 10:38:07,Running,,1.90,21:16,11:10,5.37,199.400225723166,51.73,,,2014-10-26-1038.gpx
2014-10-20 12:12:59,Walking,,0.85,16:09,19:00,3.16,0.0,22.55,,,2014-10-20-1212.gpx
2014-10-16 10:36:31,Walking,,2.10,37:19,17:44,3.38,169.18669201888,28.18,,,2014-10-16-1036.gpx
2014-10-05 11:17:20,Walking,,6.44,2:02:26,19:01,3.15,510.0,125.56,,"Lovely walk, taking in moors, gritstone edges, pastoral land, a wooded river valley and an urban park, shading gently from one into the next. ",2014-10-05-1117.gpx
2014-09-25 17:43:47,Walking,,1.43,25:47,17:59,3.34,109.0,12.87,,,2014-09-25-1743.gpx
2014-09-23 12:39:48,Walking,,1.15,22:58,19:57,3.01,101.0,14.62,,,2014-09-23-1239.gpx
2014-09-22 12:03:59,Walking,,1.56,28:52,18:28,3.25,126.0,18.10,,,2014-09-22-1203.gpx
2014-09-20 12:07:04,Walking,,4.38,1:32:58,21:13,2.83,328.0,47.68,,,2014-09-20-1207.gpx
2014-09-17 12:44:04,Walking,,0.98,16:10,16:30,3.63,77.0,9.71,,,2014-09-17-1244.gpx
2014-09-12 17:15:11,Walking,,1.22,25:45,21:02,2.85,93.0,22.03,,,2014-09-12-1715.gpx
2014-09-11 12:15:49,Walking,,1.30,22:20,17:11,3.49,105.0,30.79,,,2014-09-11-1215.gpx
2014-09-08 12:21:20,Walking,,1.12,20:49,18:38,3.22,91.0,18.81,,,2014-09-08-1221.gpx
2014-09-04 12:51:47,Walking,,1.04,19:04,18:23,3.26,85.0,20.27,,,2014-09-04-1251.gpx
2014-08-30 09:06:46,Running,,3.19,28:35,8:58,6.69,344.0,58.27,179,,2014-08-30-0906.gpx
2014-08-29 18:22:12,Walking,,0.76,13:12,17:18,3.47,61.0,16.03,,,2014-08-29-1822.gpx
2014-08-28 18:56:43,Running,,3.31,33:49,10:13,5.87,316.0,47.11,159,,2014-08-28-1856.gpx
2014-08-28 13:15:58,Walking,,1.47,25:59,17:42,3.39,117.0,28.09,,,2014-08-28-1315.gpx
2014-08-27 12:48:41,Walking,,1.63,29:00,17:46,3.38,130.0,31.72,,,2014-08-27-1248.gpx
2014-08-25 10:03:34,Walking,,3.27,51:33,15:46,3.80,264.0,33.95,,,2014-08-25-1003.gpx
2014-08-24 10:36:39,Running,,6.25,1:08:43,11:00,5.45,657.0,61.18,159,,2014-08-24-1036.gpx
2014-08-20 12:39:28,Walking,,2.20,36:52,16:44,3.59,188.0,80.00,,,2014-08-20-1239.gpx
2014-08-19 12:34:00,Walking,,1.58,27:25,17:24,3.45,126.0,41.00,,,2014-08-19-1234.gpx
2014-08-18 18:07:38,Cycling,,1.44,8:22,5:48,10.35,52.0,18.82,,,2014-08-18-1807.gpx
2014-08-15 12:48:28,Walking,,1.12,20:28,18:14,3.29,90.0,27.00,,,2014-08-15-1248.gpx
2014-08-14 12:43:41,Walking,,1.32,23:59,18:10,3.30,107.0,22.91,,,2014-08-14-1243.gpx
2014-08-13 12:42:02,Walking,,1.48,26:59,18:12,3.30,124.0,58.94,,,2014-08-13-1242.gpx
2014-08-12 12:35:09,Walking,,1.49,25:51,17:23,3.45,115.0,27.68,,,2014-08-12-1235.gpx
2014-08-11 12:44:20,Walking,,1.49,27:08,18:16,3.28,119.0,45.00,,,2014-08-11-1244.gpx
2014-08-10 17:12:03,Walking,,1.27,25:14,19:55,3.01,94.0,10.82,,,2014-08-10-1712.gpx
2014-08-09 16:49:37,Running,,4.03,37:46,9:22,6.41,378.0,79.06,165,,2014-08-09-1649.gpx
2014-08-06 12:38:31,Walking,,1.34,24:09,18:04,3.32,111.0,23.41,,,2014-08-06-1238.gpx
2014-08-04 12:38:44,Walking,,2.08,36:17,17:28,3.43,176.0,75.00,,,2014-08-04-1238.gpx
2014-08-01 10:35:38,Running,,5.61,1:04:00,11:25,5.26,552.0,196.42,153,,2014-08-01-1035.gpx
2014-07-31 12:31:51,Walking,,2.08,37:13,17:54,3.35,172.0,40.11,,,2014-07-31-1231.gpx
2014-07-29 12:36:19,Walking,,1.79,32:36,18:10,3.30,192.0,262.00,,,2014-07-29-1236.gpx
2014-07-27 19:14:19,Running,,5.47,1:05:14,11:56,5.03,509.0,187.95,151,,2014-07-27-1914.gpx
2014-07-25 12:43:46,Walking,,1.38,26:02,18:53,3.18,111.0,43.00,,,2014-07-25-1243.gpx
2014-07-23 12:32:55,Walking,,0.00,0:00,3:15,18.49,0.0,0.00,,,2014-07-23-1232.gpx
2014-07-22 12:37:13,Walking,,2.15,36:21,16:56,3.54,180.0,68.00,,,2014-07-22-1237.gpx
2014-07-19 09:57:57,Running,,9.14,1:55:24,12:38,4.75,785.0,110.41,157,,2014-07-19-0957.gpx
2014-07-18 12:59:44,Walking,,0.88,15:31,17:39,3.40,68.0,14.11,,,2014-07-18-1259.gpx
2014-07-17 12:37:18,Walking,,1.58,28:06,17:46,3.38,186.0,274.67,,,2014-07-17-1237.gpx
2014-07-12 10:42:01,Running,,25.69,22:18:43,52:07,1.15,3110.0,0.00,128,,2014-07-12-1042.gpx
2014-07-11 18:25:26,Walking,,1.35,28:07,20:49,2.88,114.0,15.64,,,2014-07-11-1825.gpx
2014-07-05 10:52:56,Running,,3.13,44:38,14:16,4.21,334.0,144.72,,"Amazing run in the Peak District — lovely weather and great company. ",2014-07-05-1052.gpx
2014-07-03 12:30:52,Walking,,1.67,32:28,19:29,3.08,130.0,38.27,,,2014-07-03-1230.gpx
2014-07-02 12:30:35,Walking,,2.10,37:13,17:42,3.39,171.0,46.94,,,2014-07-02-1230.gpx
2014-07-01 12:35:57,Walking,,3.61,58:37,16:15,3.69,327.0,121.00,,,2014-07-01-1235.gpx
2014-06-27 13:21:31,Walking,,2.14,34:27,16:07,3.72,161.0,46.00,,,2014-06-27-1321.gpx
2014-06-26 13:07:47,Walking,,2.65,44:21,16:43,3.59,215.0,84.00,,,2014-06-26-1307.gpx
2014-06-25 19:33:20,Running,,4.33,46:19,10:41,5.61,424.0,0.00,160,,2014-06-25-1933.gpx
2014-06-25 12:30:30,Walking,,1.86,34:02,18:18,3.28,155.0,48.36,,,2014-06-25-1230.gpx
2014-06-24 12:30:22,Walking,,2.00,36:33,18:19,3.27,152.0,51.00,,,2014-06-24-1230.gpx
2014-06-23 12:37:04,Walking,,1.62,27:25,16:59,3.53,139.0,54.00,,,2014-06-23-1237.gpx
2014-06-19 12:11:30,Walking,,1.62,30:00,18:34,3.23,130.0,66.00,,,2014-06-19-1211.gpx
2014-06-18 17:24:42,Cycling,,4.46,25:43,5:46,10.41,150.0,69.07,,,2014-06-18-1724.gpx
2014-06-18 12:32:09,Walking,,1.93,34:09,17:41,3.39,172.0,99.00,,,2014-06-18-1232.gpx
2014-06-17 12:24:45,Walking,,2.25,40:49,18:09,3.31,186.0,74.00,,,2014-06-17-1224.gpx
2014-06-16 12:51:21,Walking,,1.39,24:10,17:25,3.45,113.0,38.27,,,2014-06-16-1251.gpx
2014-06-14 09:30:47,Walking,,3.47,1:17:58,22:27,2.67,283.0,49.39,,,2014-06-14-0930.gpx
2014-06-13 12:34:44,Walking,,1.65,30:21,18:21,3.27,128.0,47.00,,,2014-06-13-1234.gpx
2014-06-11 12:36:09,Walking,,1.64,27:38,16:54,3.55,132.0,53.00,,,2014-06-11-1236.gpx
2014-06-10 12:27:38,Walking,,1.83,32:49,17:54,3.35,147.0,65.00,,,2014-06-10-1227.gpx
2014-06-09 12:33:43,Walking,,1.81,31:55,17:41,3.39,139.0,46.36,,,2014-06-09-1233.gpx
2014-06-07 10:49:59,Walking,,0.71,12:13,17:11,3.49,56.0,4.87,,,2014-06-07-1049.gpx
2014-06-06 12:37:23,Walking,,1.48,25:32,17:15,3.48,119.0,38.00,,,2014-06-06-1237.gpx
2014-06-04 12:46:18,Walking,,1.50,25:40,17:09,3.50,123.0,26.98,,,2014-06-04-1246.gpx
2014-05-29 12:40:01,Walking,,1.83,31:53,17:26,3.44,147.0,35.85,,,2014-05-29-1240.gpx
2014-05-28 10:27:37,Running,,4.19,44:24,10:36,5.66,445.0,87.00,166,,2014-05-28-1027.gpx
2014-05-22 12:36:34,Walking,,1.74,30:33,17:34,3.41,140.0,41.00,,,2014-05-22-1236.gpx
2014-05-21 17:22:20,Running,,4.73,52:09,11:02,5.44,520.0,206.00,,,2014-05-21-1722.gpx
2014-05-21 12:36:23,Walking,,2.02,35:01,17:21,3.46,161.0,62.00,,,2014-05-21-1236.gpx
2014-05-20 09:14:05,Walking,,2.07,37:16,18:00,3.33,162.0,32.98,,,2014-05-20-0914.gpx
2014-05-19 12:31:43,Walking,,1.87,34:40,18:30,3.24,164.0,112.00,,,2014-05-19-1231.gpx
2014-05-17 13:09:16,Walking,,3.11,1:04:45,20:49,2.88,256.0,55.20,,,2014-05-17-1309.gpx
2014-05-16 17:42:53,Walking,,2.93,48:45,16:39,3.60,264.0,55.51,,,2014-05-16-1742.gpx
2014-05-15 14:05:01,Walking,,1.17,24:08,20:36,2.91,91.0,10.83,,,2014-05-15-1405.gpx
2014-05-13 12:39:04,Walking,,1.92,37:11,19:20,3.10,141.0,20.00,,,2014-05-13-1239.gpx
2014-05-12 12:34:45,Walking,,1.35,25:56,19:15,3.12,109.0,32.00,,,2014-05-12-1234.gpx
2014-05-06 12:41:44,Walking,,1.93,32:37,16:56,3.54,204.0,269.00,,,2014-05-06-1241.gpx
2014-05-02 12:31:33,Walking,,1.64,31:24,19:09,3.13,142.0,95.00,,,2014-05-02-1231.gpx
2014-05-01 12:03:36,Walking,,1.29,20:55,16:13,3.70,111.0,23.67,,,2014-05-01-1203.gpx
2014-05-01 12:03:31,Walking,,1.30,20:39,15:57,3.76,107.0,22.73,,,2014-05-01-1203.gpx
2014-04-30 18:23:55,Running,,3.75,36:29,9:44,6.17,356.0,78.76,163,,2014-04-30-1823.gpx
2014-04-30 12:31:36,Walking,,1.82,30:49,16:55,3.55,156.0,62.00,,,2014-04-30-1231.gpx
2014-04-29 12:26:39,Walking,,1.62,26:34,16:22,3.66,132.0,26.67,,,2014-04-29-1226.gpx
2014-04-28 12:37:32,Walking,,2.02,33:16,16:26,3.65,168.0,47.37,,,2014-04-28-1237.gpx
2014-04-25 12:35:47,Walking,,1.86,29:35,15:54,3.77,156.0,47.00,,,2014-04-25-1235.gpx
2014-04-24 12:45:03,Walking,,1.90,32:23,17:04,3.52,154.0,42.94,,,2014-04-24-1245.gpx
2014-04-23 12:35:59,Walking,,2.13,35:26,16:37,3.61,175.0,67.00,,,2014-04-23-1235.gpx
2014-04-22 11:02:15,Running,,3.17,30:34,9:39,6.21,340.0,50.45,167,"Taking advantage of a bonus day off work to get in a nice long (yes, 3m is currently ""long"") run.",2014-04-22-1102.gpx
2014-04-20 09:31:40,Walking,,1.98,34:37,17:29,3.43,163.0,82.00,,,2014-04-20-0931.gpx
2014-04-19 14:23:48,Walking,,7.32,2:57:17,24:14,2.48,599.0,118.32,,,2014-04-19-1423.gpx
2014-04-17 12:32:45,Walking,,1.91,28:34,15:00,4.00,155.0,15.55,,,2014-04-17-1232.gpx
